id,"name","code","conversion_code",community_id,ps_x,ps_y,ps_size,"name_ar","name_de","name_el","name_en","name_es","name_fr","name_he","name_hi","name_it","name_ja","name_ko","name_nl","name_ru","name_pt","name_tr","name_zh_cn"
116,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets","1213","0811",116,NULL,NULL,NULL,"قش الحبوب وقشور","Stroh & Schalen","Άχυρο και φλοιοί","Cereal straw & husks","De cereales de paja y cáscaras","La paille de céréale et enveloppes","דגני בוקר קש & קליפות","अनाज पुआल और husks","Paglia e lolla di cereali","穀物のわら及び殻","시리얼 짚을 & 껍데기","Stro en kaf van","Солома зерновых и шелухи","Palha de cereais e cascas","Hububat sapları ve kabukları","谷物秸秆及稻壳"
117,"Rutabagas (swedes), mangolds, fodder roots, hay, alfalfa (lucerne), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets","1214","0811",116,1270.380371,1951.071899,15.085693,"لوسيرن (البرسيم) وجبة وكريات","Luzerne (Alfalfa) Mehl und Pellets","Λουκέρνη (αλφάλφα), χονδράλευρα και σβόλοι","Lucerne (alfalfa) meal and pellets","Lucerna (alfalfa) Harina y pellets de","(Luzerne) semoules et pellets","לוצרן (אספסת) ארוחה כדורי","ल्यूसर्न (अल्फला) भोजन और छर्रों","Lucerna (erba medica), farina e pellets","ルーサン（アルファルファ）のミール及びペレット","루체른 (알팔파) 식사와 쥐똥","Luzern (alfalfa) griesmeel en pellets","Люцерн (люцерна), помола и гранулы","Lucerna refeição (alfafa) e pelotas","Lucerne (yonca) unları ve topakları","卢塞恩（紫花苜蓿）粗粉及团粒"
118,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)","1301","2922",116,NULL,NULL,NULL,"أمريكا اللاتينية والكاريبي","Lac","Λάκκα","Lac","Laca","Lac","לאק","लाख","Lac","ラック","라크","Lak","Природный лак","Laca","Lak","紫胶"
119,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products","1302","2929",116,2177.771606,2595.88623,15.535889,"عصارات وخلاصات نباتية","Pflanzensäfte und Pflanzenauszüge","Χυμοί και εκχυλίσματα","Vegetable saps and extracts","Jugos y extractos vegetales","Sucs et extraits végétaux","ירקות הטמבלים תמציות","सब्जी saps और निकालता है","Succhi ed estratti vegetali","植物性の液汁及びエキス","야채는 얼간이들 및 추출","Plantensappen en plantenextracten","Растительные соки и экстракты","Sucos e extratos vegetais","Bitkisel özsu ve hülasalar","植物液，汁"
120,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)","1401","2923",116,NULL,NULL,NULL,"المواد النباتية المستخدمة في المقام الأول لضفر","Pflanzliche Stoffe der hauptsächlich zum Flechten verwendet","Φυτικές ύλες που χρησιμοποιούνται κυρίως για σπαρτοπλεκτική","Vegetable materials used primarily for plaiting","Materias vegetales utilizadas principalmente en cestería","Matières végétales utilisées principalement pour la vannerie","ירקות החומרים המשמשים בעיקר בקליעת","वनस्पति चारकोल Plaiting के लिए मुख्य रूप से इस्तेमाल सामग्री","Materiali vegetali utilizzati principalmente in lavori","組物のために主に使用する植物性材料","plaiting 주로 사용되는 식물성 재료","Plantaardige stoffen voornamelijk gebruikt voor vlechtwerk","Растительные материалы, используемые главным образом для плетения","Matérias vegetais utilizadas principalmente em cestaria ou espartaria","Örgü için öncelikle kullanılan bitkisel ürünlerin","主要作编结用的植物材料"
121,"Kapok","1402","2929",116,NULL,NULL,NULL,"الكابوك","Kapok","Καπόκ","Kapok","Capoc","Kapok","Kapok","रूई","Capoc","カポック","자바솜","Kapok","Капок","Paina","Yastık pamuğu","木棉"
122,"Broom corn used in brooms or brushes","1403","2929",116,NULL,NULL,NULL,"مكنسة الذرة","Besenkorn","Σκούπα καλαμπόκι","Broom corn","Mijo","Millet à balai","מטאטא תירס","झाड़ू मकई","Broom mais","ほうきのトウモロコシ","빗자루 옥수수","Broom maïs","Метла кукурузы","Milho Broom","Süpürge mısır","扫帚玉米"
123,"Vegetable products not elsewhere specified or included","1404","2929",116,NULL,NULL,NULL,"منتجات نباتية غير مذكورة في مكان آخر","Pflanzliche Erzeugnisse, anderweit weder genannt","Φυτικά προϊόντα που δεν κατονομάζονται","Vegetable products not elsewhere specified","Productos vegetales no expresados","Produits végétaux non spécifiés ailleurs","מוצרים צמחיים שאינם מפורטים במקום אחר","सब्जी निर्दिष्ट कहीं नहीं उत्पादों","Prodotti vegetali, non nominate né comprese altrove","他の場所で指定されていない野菜製品","다른 곳에서 지정되지 않은 식물성 제품","Plantaardige producten, elders genoemd","Продукты растительного происхождения другом месте не поименованные","Produtos vegetais não especificados","Başka yerde belirtilmeyen bitkisel ürünler","未列名的植物产品"
124,"Lard, other pig fat and poultry fat, rendered","1501","0913",116,NULL,NULL,NULL,"أصدرت شحم الخنزير، والدهون الدواجن،","Schmalz, Geflügelfett, ausgeschmolzen","Λαρδί, λίπη πουλερικών, λιωμένα","Lard, poultry fat, rendered","Manteca de cerdo, grasa de ave, fundidas","Lard, graisse de volaille, rendu","שומן חזיר, שומן עוף, שניתנו","चरबी, मुर्गी वसा, गाया","Strutto, grasso di pollame, reso","レンダリングラード、家禽脂肪、","돼지기름, 닭고기 지방은 렌더링","Reuzel, gevogelte, gesmolten","Сало, жир домашней птицы, оказываемые","Banha, gordura de aves, fundidas","Domuz, kümes hayvanları yağı, render","猪油，家禽脂肪，呈现"
125,"Bovine, sheep and goat fats, raw or rendered","1502","4113",116,2098.219971,2756.846191,15.124512,"الأبقار والأغنام والماعز الدهون","Rinder, Schafe und Ziegen Fette","Βοοειδών, προβατοειδών και αιγοειδών λίπη","Bovine, sheep and goat fats","Bovino, ovino y caprino, las grasas","Graisses de bovins, ovins et caprins","צאן בקר, צאן שומנים","गोजातीय, भेड़, बकरी और वसा","Bovini, ovini e caprini grassi","ウシ、ヒツジとヤギの脂肪","소, 양, 염소 지방","Runderen, schapen en geiten vetten","Говядина, овец и коз жиров","Gorduras ovinos, bovinos e caprinos","Sığır, koyun ve keçi yağları","牛，绵羊和山羊的脂肪"
126,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared","1503","4113",116,NULL,NULL,NULL,"شحم الخنزير ستيارين، oleostearin والزيوت الطبيعية وزيت الشحم","Schmalzstearin, Oleostearin & Öle, natürliche Talgöl","Στεατίνη, ελαιοστεατίνη και έλαια, φυσικά στεατέλαιο","Lard stearin, oleostearin & oils, natural tallow oil","Estearina, oleoestearina y aceites, aceite de sebo natural,","Stéarine, oléostéarine & huiles, l'huile de suif naturel","שומן stearin, oleostearin & שמנים, שמן חלב טבעית","चिकना स्टियेरिन oleostearin, और तेल, प्राकृतिक तेल तेल","Stearina solare, oleostearina e oli, olio di sevo naturale","ラードステアリン、oleostearin＆油、天然のタローオイル","라드 스테 아린, oleostearin & 오일, 천연 수지 오일","Varkensstearine stearine, oleostearine & oliën, natuurlijke talkolie","Сало стеарин, олеостеарин и масла, натуральные масла жир","Estearina, estearina e óleos, óleo de sebo naturais","Lard stearini, oleostearin ve yağlar, doğal don yağı","猪油硬脂，oleostearin油，天然羊脂油"
127,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified","1504","4111",116,2177.248291,2943.758057,15.085449,"الدهون والزيوت من الأسماك أو الثدييات البحرية","Fette und Öle von Fischen oder Meeressäugetieren","Λίπη και έλαια από ψάρια ή θαλάσσια θηλαστικά","Fats and oils of fish or marine mammals","Grasas y aceites de pescado o de mamíferos marinos","Graisses et huiles de poissons ou de mammifères marins","שומנים ושמנים של דגים או יונקים ימיים","वसा और मछली के तेल या समुद्री स्तनधारियों","Grassi e oli di pesci o mammiferi marini","魚や海洋哺乳類の油脂","지방과 생선 오일이나 해양 포유 동물","Vetten en oliën van vis of van zeezoogdieren","Жиры и масла из рыбы или морских млекопитающих","Gorduras e óleos de peixe ou de mamíferos marinhos","Katı ve balık yağları veya deniz memelileri","脂肪和鱼油或海洋哺乳动物"
128,"Wool grease and fatty substances derived therefrom (including lanolin):","1505","4113",116,NULL,NULL,NULL,"دهن الصوف الخام","Wollfett, roh","Εριολίπος ακατέργαστο","Wool grease, crude","Grasa de lana en bruto","Graisse de suint brute","שומן צמר גולמי","ऊन तेल कच्चे तेल,","Grasso di lana greggio","ウールグリース、原油","양모 그리스, 원유","Ruw wolvet","Шерсть жира, сырой","Suarda em bruto","Yün yağı, ham","羊毛油脂，原油"
129,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified","1506","4113",116,NULL,NULL,NULL,"الدهون الحيوانية والزيوت","Tierische Fette, Öle","Ζωικά λίπη, έλαια","Animal fats, oils","Las grasas animales, aceites","Les graisses animales, huiles","בעלי חיים שומנים, שמנים","पशु वसा, तेल","I grassi animali, oli","動物性脂肪、油","동물 지방, 오일","Dierlijke vetten, oliën","Животные жиры, масла","Gorduras animais, óleos","Hayvansal yağlar","动物脂肪，油"
130,"Soybean oil and its fractions, whether or not refined, but not chemically modified","1507","4232",116,2699.182861,2794.434814,16.778809,"زيت فول الصويا الخام","Sojaöl, roh","Σογιέλαιο, αργού","Soya-bean oil, crude","Aceite de soja, el crudo","Huile de soja, brute","סויה, שעועית, נפט גולמי","सोया सेम कच्चे तेल,","Olio di soia, greggio","大豆油、原油","콩 - 콩 오일, 원유","Soja-olie, ruwe","Соевое масло, сырую","Óleo de soja em bruto,","Soya yağı, ham","豆油，原油"
131,"Peanut (ground-nut) oil and its fractions, whether or not refined, but not chemically modified","1508","4234",116,NULL,NULL,NULL,"الأرض الجوز النفط الخام","Erdnussöl, roh","Αραχιδέλαιο, ακατέργαστο","Ground-nut oil, crude","Aceite de cacahuete, el crudo","Huile d'arachide, brute","הקרקע אגוז, נפט גולמי","मूँगफली तेल कच्चे तेल,","Olio di arachide, greggio","グランドナット油、原油","그라운드 너트 오일, 원유","Grondnotenolie, ruw","Арахисовое масло, сырую","Óleo de amendoim bruto,","Yer fıstığı yağı, ham","地面坚果油，原油;"
132,"Olive oil and its fractions, whether or not refined, but not chemically modified","1509","4235",116,2694.052368,2831.499756,15.772705,"زيت الزيتون البكر","Olivenöl, natives","Ελαιόλαδο, παρθένο","Olive oil, virgin","Aceite de oliva, virgen","L'huile d'olive, vierge","שמן זית, כתית","जैतून का तेल, कुंवारी","Olio d'oliva, vergine","オリーブオイル、バージン","올리브 기름, 처녀","Olijfolie, maagd","Оливковое масло, девственный","Azeite, virgem","Zeytinyağı, bakire","橄榄油，英属维尔京"
133,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils and fractions with oils or fractions of heading 1509:","1510","4235",116,NULL,NULL,NULL,"يمزج زيت الزيتون","Olivenöl vermischt","Ελαιόλαδο συνδυάζει","Olive oil blends","El aceite de oliva combina","L'huile d'olive mêle","שמן זית תערובות","जैतून का तेल मिश्रणों","L'olio d'oliva unisce","オリーブオイルのブレンド","올리브 오일이 어우러져","Olijfolie past","Оливковое масло смешивается","Azeite combina","Zeytinyağı karışır","橄榄油混合"
134,"Palm oil and its fractions, whether or not refined, but not chemically modified","1511","4242",116,2884.433228,2173.904175,19.248779,"زيت النخيل الخام","Palmöl, roh","Φοινικέλαιο, ακατέργαστο","Palm oil, crude","El aceite de palma, en bruto","Huile de palme brute","כף שמן גולמי","पाम तेल, कच्चे तेल की","Olio di palma, greggio","パーム油、原油","팜 오일, 원유","Ruwe palmolie","Пальмовое масло, сырую","O óleo de palma, em bruto","Palm yağı, ham","棕榈油，原油"
135,"Sunflower-seed, safflower or cottonseed oil, and fractions thereof, whether or not refined, but not chemically modified","1512","4236",116,2303.30603,2660.876221,15.983154,"بذور عباد الشمس أو زيت القرطم، الخام","Sonnenblumen-oder Safloröl, roh","Λάδι ηλιοτρόπιου ή κνήκου, ακατέργαστο","Sunflower-seed or safflower oil, crude","Aceites de girasol o cártamo, el crudo","Huiles de tournesol ou l'huile de carthame, brutes","חמניות, זרעי או שמן חריע, גולמי","सूरजमुखी के बीज या safflower तेल कच्चे तेल,","Oli di girasole o di cartamo, greggio","ヒマワリ種子やベニバナ油、原油","해바라기 - 종자 또는 잇꽃 오일, 원유","Zonnebloem-en saffloerolie, ruw","Подсолнечное или сафлоровое масло, сырую","De girassol ou de cártamo em bruto,","Ayçiçeği tohumu veya aspir yağı, ham","向日葵种子或红花油，原油"
136,"Coconut (copra), palm kernel or babassu oil, and fractions thereof, whether or not refined, but not chemically modified","1513","4243",116,2875.665039,2208.306152,15.687988,"جوز الهند من النفط الخام","Kokosöl Rohöl","Καρύδας αργού πετρελαίου","Coconut oil crude","Aceite crudo de coco","L'huile de coco brute","קוקוס נפט גולמי","नारियल तेल कच्चे तेल की","Olio di cocco greggio","ココナッツオイルの原油","코코넛 오일 원유","Kokosolie ruwe","Кокосовое масло сырой","Coconut petróleo bruto","Hindistan cevizi yağı ham","椰子油原油"
137,"Rapeseed, colza or mustard oil, and fractions thereof, whether or not refined, but not chemically modified","1514","4239",116,2033.396606,2658.560547,15.77832,"الكانولا، والاغتصاب، والسلجم أو الخردل النفط الخام","Raps, Raps, Rapsöl oder Senföl, roh","Canola, αγριογογγύλης, αγριοκράμβης ή σιναπιού, ακατέργαστα","Canola, rape, colza or mustard oil, crude","Canola, aceite de colza, colza o de mostaza, en bruto","Huile de canola, de colza ou de moutarde, brutes","שמן קנולה, שמן, אונס colza או חרדל, גולמי","Canola, कच्चे बलात्कार कोल्ज़, या सरसों के तेल,","Colza, olio di colza, colza o di senapa, greggi","キャノーラ油、菜種油及びからし油、原油","카놀라, 강간, 평지 또는 겨자 기름, 원유","Canola, verkrachting, raapzaad-en mosterdzaadolie, ruw","Рапса, рапса, рапсового или горчичного масла, сырой","Canola, óleo de colza, colza e mostarda em bruto,","Kanola, kolza, kolza ve hardal yağı, ham","油菜，油菜，菜子油或芥子​​油，原油"
138,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified","1515","4241",116,2664.795532,2688.954834,15.445068,"بذر الكتان النفط، والنفط الخام","Leinöl, roh","Λινέλαιο, ακατέργαστα","Linseed oil, crude","El aceite de linaza, el crudo","Huile de lin brute","נפט גולמי פשתן,","अलसी का तेल, कच्चे तेल की","Olio di lino, greggio","亜麻仁油、原油","아마씨 기름, 원유","Lijnolie, ruw","Льняное масло, сырую","Óleo de linhaça em bruto","Keten tohumu yağı, ham","亚麻籽油，原油;"
139,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinized, whether or not refined, but not further prepared","1516","4312",116,2437.892334,2599.004517,15.528809,"المهدرجة الدهون الحيوانية والنباتية والزيوت","hydrierte tierische und pflanzliche Fette, Öle","υδρογονωμένα φυτικά και ζωικά λίπη, έλαια","hydrogenated animal and vegetable fats, oils","hidrogenados grasas animales y vegetales, los aceites","hydrogénées graisses animales et végétales, les huiles","מוקשה החי והצומח שומנים, שמנים","पशु और वनस्पति वसा, तेल हाइड्रोजनीकृत","idrogenati grassi animali e vegetali, oli","動物性および植物性脂肪、油、水素化","동물성과 식물성 지방, 오일을 수소 첨가","gehydrogeneerde dierlijke en plantaardige vetten, oliën","гидрогенизированные животные и растительные жиры, масла","hidrogenados gorduras animais e vegetais, óleos","hayvansal ve bitkisel katı ve sıvı yağlar hidrojene","氢化动物和植物脂肪，油"
140,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils or their fractions of heading 1516","1517","0914",116,2433.598389,2535.206299,15.66748,"السمن، وليس السائل","Margarine, nicht flüssig","Μαργαρίνη, δεν υγρό","Margarine, not liquid","Margarina, no líquido","Margarine, pas liquide","מרגרינה, לא נוזלי","तरल नहीं, मार्जरीन","Margarina, non liquida","マーガリンではなく、液体","마가린, 액체 없습니다","Margarine, geen vloeistof","Маргарин, не разжевывая","Margarina, não líquido","Margarin, sıvı değil","人造黄油，没有液体"
141,"Animal or vegetable fats and oils and their fractions, boiled, oxidized, dehydrated, sulfurized, blown, polymerized by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations of a","1518","4311",116,1386.209595,2870.503662,15.148193,"معالجة الحيوانات، والزيوت النباتية","Verarbeitete tierische, pflanzliche Öle","Τα επεξεργασμένα ζωικά, φυτικά έλαια","Processed animal, vegetable oils","Animales transformadas, los aceites vegetales","Animales transformées, les huiles végétales","בעלי חיים מעובד, שמנים צמחיים","संसाधित पशु, वनस्पति तेलों","Animali trasformate, oli vegetali","処理動物、植物油","가공 동물, 식물성 오일","Verwerkte dierlijke, plantaardige oliën","Обработанные животные, растительные масла","Animais transformadas, óleos vegetais","İşlenmiş hayvansal, bitkisel yağlar","处理动物，植物油"
142,"Stearic acid","1519","4313",116,1059.585327,2313.942627,15.899414,"حامض دهني","Stearinsäure","Στεαρικό οξύ","Stearic acid","El ácido esteárico","L'acide stéarique","חומצה סטארית","साबुन तता ग्लिसरीन वर्तिका के बनाने के काम आने वाला अम्ल","L'acido stearico","ステアリン酸","스테아르산","Stearinezuur","Стеариновая кислота","Ácido esteárico","Stearik asit","硬脂酸"
143,"Glycerol, crude; glycerol waters and glycerol lyes","1520","5121",116,1070.051392,2275.024414,15.053955,"الجلسرين الخام","Glycerin, roh","Γλυκερίνη, ακατέργαστη","Glycerol, crude","Glicerol en bruto","Glycérol brut",", גליצרול גולמי","ग्लिसरॉल कच्चे तेल,","Glicerolo, greggio","グリセロール、原油","글리세롤, 원유","Ruwe glycerol","Глицерина, сырой","Glicerol em bruto,","Gliserol, ham","甘油，粗"
144,"Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or colored","1521","4314",116,NULL,NULL,NULL,"الشموع النباتية غير الثلاثية","Pflanzenwachse nicht Triglyceride","Κεριά φυτικά δεν τριγλυκερίδια","Vegetable waxes not triglycerides","Ceras de origen vegetal, no los triglicéridos","Cires végétales ne triglycérides","ירקות שעוות לא טריגליצרידים","सब्जी नहीं ट्राइग्लिसराइड्स waxes","Cere vegetali, non trigliceridi","植物性のろうませトリグリセリド","식물성 왁스 아니라 트리 글리세 리드","Plantaardige was niet triglyceriden","Растительные воски не триглицеридов","Ceras vegetais não triglicérides","Bitkisel mumlar değil trigliserid","植物蜡不甘油三酯"
145,"Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","1522","4313",116,NULL,NULL,NULL,"بقايا من الحيوانات المعالجة والخضار الشموع","Rückstände aus der Verarbeitung tierischer Wachse & Gemüse","Υπολείμματα από την επεξεργασία ζωικών και λαχανικών κεριά","Residues from treatment animal & veg waxes","Residuos de tratamiento de los animales y vegetales las ceras","Les résidus de traitement des animaux & légumes cires","שאריות של בעלי חיים לטיפול & צמחוני שעוות","उपचार पशु और सब्जियां waxes से अवशेषों","Residui di trattamento degli animali e verdura cere","治療の動物＆野菜ワックスからの残渣","치료 동물 & veg 왁스의 잔류물","Residuen van de behandeling van dieren en groenten wassen","Остатки от лечения животных и овощей воски","Resíduos de animais e vegetais tratamento ceras","Tedavi hayvan ve sebze mumlar kalıntı","从治疗动物和蔬菜蜡残留"
146,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products:","1601","0142",126,2221.880615,2421.594238,15.393066,"النقانق","Würste","Λουκάνικα","Sausages","Embutidos","Saucisses","נקניקיות","सॉस","Salsicce","ソーセージ","소시지","Worst","Колбасы","Enchidos","Sosis","香肠"
147,"Other prepared or preserved meat, meat offal or blood","1602","0149",126,2268.473877,2494.555908,16.760254,"المتجانس محضرات لحوم","Homogenisierte Zubereitungen aus Fleisch","Ομογενοποιημένα παρασκευάσματα κρέατος","Homogenized preparations of meat","Preparaciones homogeneizadas de carne","Préparations homogénéisées de viandes","ההכנות ומעורים של בשר","मांस की homogenized तैयारी","Preparazioni omogeneizzate di carni","肉の均質化の準備","고기 균질 준비","Gehomogeniseerde bereidingen van vlees","Гомогенизированные готовые мясо","Preparações homogeneizadas de carne","Etin homojenize müstahzarlar","均质肉准备"
148,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates:","1603","0141",126,NULL,NULL,NULL,"مقتطفات والعصائر من اللحم أو السمك","Auszüge, Säfte von Fleisch oder Fisch","Εκχυλίσματα, χυμοί κρέατος ή ψαριού","Extracts, juices of meat or fish","Extractos, jugos de carne o pescado","Extraits, jus de viande ou de poisson","מחלץ, מיצי בשר או דגים","अर्क मांस या मछली का, रस","Estratti, succhi di carne o pesce","肉や魚のエキス、ジュース","고기나 생선 추출물, 주스","Extracten, sappen van vlees of vis","Экстракты, соки из мяса или рыбы","Extractos, sucos de carne ou peixe","Et veya balık ayıklar, suları","提取，果汁肉或鱼"
149,"Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs","1604","0371",126,2182.657104,2822.854736,16.876709,"أسماك محضرة أو محفوظة","Zubereitet oder haltbar gemacht","Παρασκευάσματα και κονσέρβες ψαριών","Prepared or preserved fish","Preparaciones y conservas de pescado","Poissons préparés ou conservés","מוכנים או משומרים דגים","तैयार या संरक्षित मछली","Preparazioni e conserve di pesce","の調製をし又は保存の魚","준비 또는 보존된 물고기","Bereidingen en conserven van vis","Готовая или консервированная рыба","Preparações e conservas de peixe","Hazırlanmış veya konserve edilmiş balıklar","调制或保藏的鱼"
150,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved","1605","0372",126,2156.906494,2893.585205,15.962891,"القشريات والرخويات وغيرها من اللافقاريات المائية","Krebstiere, Weichtiere und andere wirbellose Wassertiere","Μαλακόστρακα, μαλάκια και άλλα ασπόνδυλα υδρόβια","Crustaceans, molluscs and other aquatic invertebrates","Crustáceos, moluscos y demás invertebrados acuáticos","Crustacés, mollusques et autres invertébrés aquatiques","סרטנים, רכיכות וחסרי חוליות אחרים החיים במים","क्रसटेशियन, मोलस्क्स और अन्य जलीय अकशेरूकीय","Crostacei, molluschi ed altri invertebrati acquatici","甲殻類、軟体動物及びその他の水棲無脊椎動物","갑각류, 연체 동물 및 기타 수생 무척추 동물","Schaaldieren, weekdieren en andere ongewervelde waterdieren","Ракообразные, моллюски и прочие водные беспозвоночные","Crustáceos, moluscos e outros invertebrados aquáticos","Kabuklular, yumuşakçalar ve suda yaşayan diğer omurgasız","甲壳动物，软体动物及其他水生无脊椎动物"
151,"Cane or beet sugar and chemically pure sucrose, in solid form","1701","0611",126,2495.48645,2192.307617,17.949463,"الخام والسكر، وقصب السكر","Rohzucker, Rohrzucker","Η ακατέργαστη ζάχαρη, ζαχαροκάλαμο","Raw sugar, cane","El azúcar en bruto, la caña de","Le sucre brut, de la canne","סוכר גולמי, מקל","कच्चे चीनी, गन्ना","Lo zucchero greggio, di canna","原料糖、サトウキビ","원료 설탕, 지팡이","Ruwe suiker, riet","Сахар-сырец, тростниковый","Açúcar em bruto, cana-de-","Ham şeker, şeker kamışı","，甘蔗原糖"
152,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel","1702","0619",126,1827.02417,2707.446533,15.633545,"غيرها من السكريات","Andere Zucker","Άλλα ζάχαρα","Other sugars","Otros azúcares","Autres sucres","סוכרים אחרים","अन्य शर्करा","Altri zuccheri","他の糖","기타 설탕","Andere suiker","Другие сахара","Outros açúcares","Diğer şekerler","其他糖类"
153,"Molasses resulting from the extraction or refining of sugar","1703","0615",126,NULL,NULL,NULL,"دبس السكر","Melasse","Μελάσες","Molasses","Melaza","Mélasse","דבשה","गुड़","Melassa","糖蜜","당밀","Melasse","Меласса","Melaço","Melas","糖蜜"
154,"Sugar confectionery (including white chocolate), not containing cocoa","1704","0620",126,2451.985229,2406.33667,16.088135,"حلويات سكر","Süßwaren Zucker","Ζαχαροπλαστικής ζάχαρη","Confectionery sugar","Artículos de confitería","Confiserie de sucre","סוכר וממתקים","हलवाई की दुकान चीनी","A base di zuccheri","砂糖菓子","제과 설탕","Zoetwaren suiker","Кондитерские сахара","Produtos de confeitaria","Şekerleme","糖果糖"
155,"Cocoa beans, whole or broken, raw or roasted","1801","0721",126,2804.609619,2239.5896,15.964355,"حبوب الكاكاو، كامل","Kakaobohnen,","Κακάο, σε σπόρους","Cocoa beans, whole","Cacao en grano, entero","Les fèves de cacao, l'ensemble","פולי קקאו, כל","कोको बीन्स, पूरे","Cacao in grani, interi","カカオ豆、全体","코코아 콩, 전체","Cacaobonen, ook","Какао-бобы, целые","Cacau, toda","Kakao çekirdekleri, bütün","可可豆，全"
156,"Cocoa shells, husks, skins and other cocoa waste","1802","0819",126,NULL,NULL,NULL,"الكاكاو قذائف","Kakaoschalen","Κελύφη","Cocoa shells","Cáscaras","Coques","קקאו פגזים","कोकोषेल्स","Gusci di cacao","ココアの殻","코코아 껍질","Cacaodoppen","Какавелла","Cascas de cacau","Kakao kabukları","可可壳"
157,"Cocoa paste, whether or not defatted","1803","0723",126,2799.149658,2155.129395,15.120605,"عجينة الكاكاو لا مزال الدهن","Kakaomasse auch entfettet","Πάστα κακάου αποβουτυρωμένη","Cocoa paste not defatted","Pasta de cacao desgrasada","Pâte de cacao non dégraissé","ממרח קקאו לא defatted","कोको पेस्ट नहीं वसा से वंचित","Pasta di cacao sgrassata","ココアペーストは脱脂しない","코코아 페이스트는 지방질을 제거하는 안","Cacaopasta ontvet","Какао-паста не обезжиренная","Pasta de cacau não desengordurada","Kakao hamuru yağı alınmış değil","未脱脂可可膏"
158,"Cocoa butter, fat and oil","1804","0723",126,2813.573364,2203.056396,15.529541,"زبدة الكاكاو، والدهون والزيوت","Kakao-Butter, Fett, Öl","Βούτυρο, λίπος, λάδι","Cocoa butter, fat, oil","La manteca de cacao, grasa, aceite","Le beurre de cacao, graisse, huile","חמאת קקאו, שמן, שמן","कोकोआ मक्खन, वसा, तेल","Burro di cacao, grasso, olio","カカオバター、脂肪、油","코코아 버터, 기름, 기름","Cacao boter, vet, olie","Какао-масло, жир, масло","A manteiga de cacau, gordura, óleo","Kakao yağı, yağ, yağ","可可脂，脂肪，油"
159,"Cocoa powder, not containing added sugar or other sweetening matter","1805","0722",126,2843.046143,2177.83667,15.020508,"مسحوق الكاكاو، غير محلى","Kakaopulver, ungesüßt","Κακάο σε σκόνη, χωρίς ζάχαρη","Cocoa powder, unsweetened","Cacao en polvo sin azúcar","La poudre de cacao non sucré","אבקת קקאו, לא ממותק","कोकोआ पाउडर, unsweetened","Cacao in polvere non zuccherato","無糖ココアパウダー、","unsweetened 코코아 가루,","Cacaopoeder, zonder suiker","Какао-порошок, несладкий","Cacau em pó, não adoçado","Şekersiz kakao tozu,","可可粉，加糖"
160,"Chocolate and other food preparations containing cocoa","1806","0730",126,2389.420288,2351.953369,17.730225,"مسحوق الكاكاو، محلاة","Kakaopulver, gesüßt","Σκόνη κακάο, ζαχαρούχο","Cocoa powder, sweetened","Cacao en polvo azucarado","Poudre de cacao, sucré","אבקת קקאו, ממותק","कोको पाउडर मीठा,","Cacao in polvere, zuccherato","加糖ココアパウダー、","코코아 분말, 가당","Cacaopoeder, gezoet","Какао-порошок, подслащенный","Cacau em pó, adoçado","Kakao tozu, tatlandırılmış","可可粉，加糖"
161,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40 percent by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of go","1901","0488",126,2393.584961,2543.543945,16.628418,"المالت","Malzextrakt","Εκχυλίσματα βύνης","Malt extract","Extracto de malta","L'extrait de malt","תמצית מאלט","माल्ट निकालने","Estratti di malto","麦芽エキス","맥아 추출물","Moutextract","Солодовый экстракт","Extrato de malte","Malt hülasası","麦精"
